Complaint_ID,Complaint_Date,Customer_ID,Product_ID,Employee_ID,Region_ID,Complaint_Type,Priority,Status,SLA_Hours,Resolution_Hours,Customer_Rating
CMP000001,2026-07-17,C00226,P0002,E0046,R004,Billing Issue,Medium,Closed,24,49,5
CMP000002,2025-12-21,C00333,P0078,E0011,R008,Refund Delay,Critical,Closed,24,46,5
CMP000003,2025-11-17,C00119,P0086,E0068,R007,Damaged Product,High,Closed,24,125,2
CMP000004,2026-08-07,C00474,P0082,E0018,R003,Refund Delay,Medium,Closed,48,120,3
CMP000005,2026-06-18,C00084,P0079,E0079,R001,Product Quality,Critical,Closed,48,17,3
CMP000006,2025-12-16,C00288,P0010,E0081,R007,Delivery Delay,Low,Closed,72,4,2
CMP000007,2025-08-08,C00090,P0113,E0088,R006,Wrong Product,Low,Closed,48,103,4
CMP000008,2025-09-14,C00420,P0053,E0067,R007,Wrong Product,Critical,Pending,48,6,
CMP000009,2025-06-26,C00042,P0113,E0054,R004,Delivery Delay,Low,Closed,24,25,3
CMP000010,2026-01-09,C00086,P0044,E0064,R007,Damaged Product,Medium,Closed,24,55,4
CMP000011,2026-03-11,C00572,P0052,E0089,R008,Damaged Product,High,Closed,48,91,1
CMP000012,2025-06-17,C00549,P0084,E0093,R005,Delivery Delay,Critical,Closed,48,114,2
CMP000014,2026-06-28,C00151,P0071,E0102,R008,Delivery Delay,Medium,Closed,48,23,4
CMP000015,2025-09-19,C00582,P0049,E0071,R007,Refund Delay,Medium,Pending,24,132,
CMP000016,2026-07-10,C00359,P0148,E0020,R001,Delivery Delay,Critical,Closed,72,34,5
CMP000017,2025-09-14,C00120,P0137,E0023,R004,Wrong Product,Critical,Closed,24,69,5
CMP000018,2026-03-11,C00003,P0002,E0109,R001,Wrong Product,Critical,Closed,72,88,1
CMP000019,2025-07-15,C00497,P0093,E0005,R005,Refund Delay,Medium,Closed,24,7,4
CMP000020,2025-08-10,C00120,P0044,E0052,R007,Billing Issue,Critical,Closed,72,54,4
CMP000021,2025-10-05,C00134,P0149,E0028,R006,Delivery Delay,Medium,Closed,24,126,5
CMP000022,2025-11-29,C00219,P0015,E0094,R002,Damaged Product,High,Closed,24,44,5
CMP000023,2026-07-19,C00075,P0042,E0083,R004,Billing Issue,Medium,Closed,48,53,4
CMP000024,2026-06-06,C00444,P0108,E0010,R004,Refund Delay,Critical,Open,24,131,
CMP000025,2025-12-13,C00199,P0118,E0010,R004,Wrong Product,Medium,Closed,24,129,2
CMP000026,2026-02-26,C00459,P0002,E0108,R002,Damaged Product,High,Closed,48,134,2
CMP000027,2026-01-01,C00008,P0149,E0063,R004,Wrong Product,High,Closed,24,139,4
CMP000028,2026-04-09,C00547,P0006,E0001,R002,Damaged Product,Critical,Pending,24,73,
CMP000029,2025-06-29,C00016,P0139,E0073,R006,Damaged Product,Medium,Closed,24,103,2
CMP000030,2025-08-13,C00526,P0115,E0005,R005,Product Quality,Low,Closed,72,14,5
CMP000031,2026-08-22,C00119,P0079,E0081,R007,Product Quality,Critical,Open,72,15,
CMP000033,2026-02-24,C00558,P0030,E0073,R006,Product Quality,Medium,Closed,72,52,1
CMP000034,2025-06-08,C00101,P0147,E0028,R006,Wrong Product,Low,Closed,72,65,4
CMP000035,2026-05-04,C00188,P0055,E0010,R004,Damaged Product,Low,Closed,48,118,2
CMP000036,2026-04-20,C00077,P0047,E0072,R001,Delivery Delay,Low,Closed,72,39,2
CMP000037,2025-06-13,C00225,P0024,E0051,R006,Billing Issue,Medium,Closed,72,76,5
CMP000038,2026-05-07,C00042,P0063,E0053,R004,Wrong Product,High,Closed,48,91,2
CMP000039,2026-03-02,C00039,P0113,E0066,R004,Refund Delay,Medium,Closed,48,31,5
CMP000040,2025-07-11,C00123,P0145,E0021,R001,Delivery Delay,Medium,Closed,72,134,2
CMP000041,2026-05-16,C00348,P0146,E0116,R008,Delivery Delay,Critical,Closed,24,31,4
CMP000042,2025-10-06,C00404,P0010,E0028,R006,Product Quality,High,Closed,72,119,1
CMP000043,2026-07-21,C00541,P0129,E0054,R004,Damaged Product,Low,Closed,48,111,3
CMP000044,2025-11-17,C00141,P0053,E0039,R005,Delivery Delay,High,Open,48,126,
CMP000046,2025-08-25,C00169,P0051,E0024,R002,Refund Delay,Medium,Closed,48,96,1
CMP000047,2026-04-25,C00280,P0076,E0066,R004,Damaged Product,Medium,Pending,72,56,
CMP000048,2026-04-25,C00469,P0122,E0084,R006,Delivery Delay,High,Closed,24,87,1
CMP000049,2025-09-25,C00205,P0126,E0056,R003,Billing Issue,Medium,Pending,24,30,
CMP000050,2025-10-17,C00026,P0129,E0001,R002,Delivery Delay,Critical,Closed,72,45,4
CMP000051,2026-03-22,C00476,P0040,E0092,R003,Refund Delay,High,Closed,24,61,1
CMP000052,2025-09-18,C00215,P0054,E0036,R004,Billing Issue,Critical,Closed,24,104,3
CMP000053,2026-02-02,C00219,P0052,E0010,R004,Delivery Delay,Medium,Closed,24,82,4
CMP000054,2025-08-16,C00248,P0148,E0019,R002,Damaged Product,Critical,Closed,72,35,5
CMP000055,2025-10-22,C00553,P0087,E0025,R004,Product Quality,High,Pending,72,38,
CMP000056,2025-08-08,C00378,P0047,E0091,R002,Billing Issue,Medium,Closed,48,22,4
CMP000057,2026-03-19,C00515,P0125,E0025,R004,Wrong Product,Low,Closed,48,25,3
CMP000058,2025-09-29,C00545,P0069,E0069,R007,Damaged Product,High,Closed,24,114,2
CMP000059,2026-01-14,C00294,P0032,E0055,R005,Refund Delay,High,Closed,72,41,3
CMP000060,2025-07-28,C00163,P0126,E0103,R001,Delivery Delay,Medium,Closed,72,55,2
CMP000061,2025-09-16,C00239,P0029,E0001,R002,Billing Issue,Low,Closed,48,67,2
CMP000062,2026-05-15,C00080,P0056,E0109,R001,Delivery Delay,Critical,Closed,24,34,5
CMP000063,2025-08-25,C00223,P0049,E0076,R008,Refund Delay,High,Closed,48,86,1
CMP000064,2025-12-17,C00158,P0140,E0060,R001,Damaged Product,Low,Closed,72,64,3
